Bar,Date,Time,Open,High,Low,Close
8016,07/12/10,00:00,1077.23,1080.78,1070.45,1078.75
8017,07/13/10,00:00,1080.65,1099.46,1080.65,1095.34
8018,07/14/10,00:00,1095.61,1099.08,1087.68,1095.17
8019,07/15/10,00:00,1094.46,1098.66,1080.53,1096.48
8020,07/16/10,00:00,1093.85,1093.85,1063.32,1064.88
8021,07/19/10,00:00,1066.85,1074.7,1061.11,1071.25
8022,07/20/10,00:00,1064.53,1083.94,1056.88,1083.48
8023,07/21/10,00:00,1086.67,1088.96,1065.25,1069.59
8024,07/22/10,00:00,1072.14,1097.5,1072.14,1093.67
8025,07/23/10,00:00,1092.17,1103.73,1087.88,1102.66
8026,07/26/10,00:00,1102.89,1115.01,1101.3,1115.01
8027,07/27/10,00:00,1117.36,1120.95,1109.78,1113.84
8028,07/28/10,00:00,1112.84,1114.66,1103.11,1106.13
8029,07/29/10,00:00,1108.07,1115.9,1092.82,1101.53
8030,07/30/10,00:00,1098.44,1106.44,1088.01,1101.6
8031,08/02/10,00:00,1107.53,1127.3,1107.53,1125.86
8032,08/03/10,00:00,1125.34,1125.44,1116.76,1120.46
8033,08/04/10,00:00,1121.06,1128.75,1119.46,1127.24
8034,08/05/10,00:00,1125.78,1126.56,1118.81,1125.81
8035,08/06/10,00:00,1122.07,1123.06,1107.17,1121.64
8036,08/09/10,00:00,1122.8,1129.24,1120.91,1127.79
8037,08/10/10,00:00,1122.92,1127.16,1111.58,1121.06
8038,08/11/10,00:00,1116.89,1116.89,1088.55,1089.47
8039,08/12/10,00:00,1081.48,1086.72,1076.69,1083.61
8040,08/13/10,00:00,1082.22,1086.25,1079,1079.25
8041,08/16/10,00:00,1077.49,1082.62,1069.49,1079.38
8042,08/17/10,00:00,1081.16,1100.14,1081.16,1092.54
8043,08/18/10,00:00,1092.08,1099.77,1085.76,1094.16
8044,08/19/10,00:00,1092.44,1092.44,1070.66,1075.63
8045,08/20/10,00:00,1075.63,1075.63,1063.91,1071.69
8046,08/23/10,00:00,1073.36,1081.58,1067.08,1067.36
8047,08/24/10,00:00,1063.2,1063.2,1046.68,1051.87
8048,08/25/10,00:00,1048.98,1059.38,1039.83,1055.33
8049,08/26/10,00:00,1056.28,1061.45,1045.4,1047.22
8050,08/27/10,00:00,1049.27,1065.21,1039.7,1064.59
8051,08/30/10,00:00,1062.9,1064.4,1048.79,1048.92
8052,08/31/10,00:00,1046.88,1055.14,1040.88,1049.33
8053,09/01/10,00:00,1049.72,1081.3,1049.72,1080.29
8054,09/02/10,00:00,1080.66,1090.1,1080.39,1090.1
8055,09/03/10,00:00,1093.61,1105.1,1093.61,1104.51
8056,09/07/10,00:00,1102.6,1102.6,1091.15,1091.84
8057,09/08/10,00:00,1092.36,1103.26,1092.36,1098.87
8058,09/09/10,00:00,1101.15,1110.27,1101.15,1104.18
8059,09/10/10,00:00,1104.57,1110.88,1103.92,1109.55
8060,09/13/10,00:00,1113.38,1123.87,1113.38,1121.9
8061,09/14/10,00:00,1121.16,1127.36,1115.58,1121.1
8062,09/15/10,00:00,1119.43,1126.46,1114.63,1125.07
8063,09/16/10,00:00,1123.89,1125.44,1118.88,1124.66
8064,09/17/10,00:00,1126.39,1131.47,1122.43,1125.59
8065,09/20/10,00:00,1126.57,1144.86,1126.57,1142.71
8066,09/21/10,00:00,1142.82,1148.59,1136.22,1139.78
8067,09/22/10,00:00,1139.49,1144.38,1131.58,1134.28
8068,09/23/10,00:00,1131.1,1136.77,1122.79,1124.83
8069,09/24/10,00:00,1131.69,1148.9,1131.69,1148.67
8070,09/27/10,00:00,1148.64,1149.92,1142,1142.16
8071,09/28/10,00:00,1142.31,1150,1132.09,1147.7
8072,09/29/10,00:00,1146.75,1148.63,1140.26,1144.73
8073,09/30/10,00:00,1145.97,1157.16,1136.08,1141.2
8074,10/01/10,00:00,1143.49,1150.3,1139.42,1146.24
8075,10/04/10,00:00,1144.96,1148.16,1131.87,1137.03
8076,10/05/10,00:00,1140.68,1162.76,1140.68,1160.75
8077,10/06/10,00:00,1159.81,1162.33,1154.85,1159.97
8078,10/07/10,00:00,1161.57,1163.87,1151.41,1158.06
8079,10/08/10,00:00,1158.36,1167.73,1155.58,1165.15
8080,10/11/10,00:00,1165.32,1168.68,1162.02,1165.32
8081,10/12/10,00:00,1164.28,1172.58,1155.71,1169.77
8082,10/13/10,00:00,1171.32,1184.38,1171.32,1178.1
8083,10/14/10,00:00,1177.82,1178.89,1166.71,1173.81
8084,10/15/10,00:00,1177.47,1181.2,1167.12,1176.19
8085,10/18/10,00:00,1176.83,1185.53,1174.55,1184.71
8086,10/19/10,00:00,1178.64,1178.64,1159.71,1165.9
8087,10/20/10,00:00,1166.74,1182.94,1166.74,1178.17
8088,10/21/10,00:00,1179.82,1189.43,1171.17,1180.26
8089,10/22/10,00:00,1180.52,1183.93,1178.99,1183.08
8090,10/25/10,00:00,1184.74,1196.14,1184.74,1185.62
8091,10/26/10,00:00,1184.88,1187.11,1177.72,1185.64
8092,10/27/10,00:00,1183.84,1183.84,1171.7,1182.45
8093,10/28/10,00:00,1184.47,1189.53,1177.1,1183.78
8094,10/29/10,00:00,1183.87,1185.46,1179.7,1183.26
8095,11/01/10,00:00,1185.71,1195.81,1177.65,1184.38
8096,11/02/10,00:00,1187.86,1195.88,1187.86,1193.57
8097,11/03/10,00:00,1193.79,1198.3,1183.56,1197.96
8098,11/04/10,00:00,1198.34,1221.25,1198.34,1221.06
8099,11/05/10,00:00,1221.2,1227.08,1220.29,1225.85
8100,11/08/10,00:00,1223.24,1224.57,1217.55,1223.25
8101,11/09/10,00:00,1223.59,1226.84,1208.94,1213.4
8102,11/10/10,00:00,1213.14,1218.75,1204.33,1218.71
8103,11/11/10,00:00,1213.04,1215.45,1204.49,1213.54
8104,11/12/10,00:00,1209.07,1210.5,1194.08,1199.21
8105,11/15/10,00:00,1200.44,1207.43,1197.15,1197.75
8106,11/16/10,00:00,1194.79,1194.79,1173,1178.34
8107,11/17/10,00:00,1178.33,1183.56,1175.82,1178.59
