Bar,Date,Time,Open,High,Low,Close
1377,03/30/84,00:00,159.51,159.52,158.92,159.18
1378,04/02/84,00:00,159.19,159.87,157.63,157.98
1379,04/03/84,00:00,157.99,158.27,157.17,157.66
1380,04/04/84,00:00,157.65,158.11,157.29,157.55
1381,04/05/84,00:00,157.61,158.1,154.96,155.04
1382,04/06/84,00:00,155.04,155.48,154.12,155.48
1383,04/09/84,00:00,155.55,155.86,154.71,155.45
1384,04/10/84,00:00,155.46,156.57,155.46,155.87
1385,04/11/84,00:00,155.87,156.31,154.9,155
1386,04/12/84,00:00,155,157.74,154.17,157.73
1387,04/13/84,00:00,157.71,158.87,157.13,157.31
1388,04/16/84,00:00,157.31,158.35,156.49,158.32
1389,04/17/84,00:00,158.36,159.59,158.36,158.97
1390,04/18/84,00:00,158.94,158.94,157.64,157.9
1391,04/19/84,00:00,157.89,158.02,157.1,158.02
1392,04/20/84,00:00,159.67,161.45,157.9,159.2
1393,04/23/84,00:00,158.02,158.05,156.79,156.8
1394,04/24/84,00:00,156.8,158.38,156.61,158.05
1395,04/25/84,00:00,158.04,158.77,157.8,158.65
1396,04/26/84,00:00,158.65,160.5,158.65,160.3
1397,04/27/84,00:00,160.28,160.69,159.77,159.89
1398,04/30/84,00:00,159.89,160.43,159.3,160.04
1399,05/01/84,00:00,160.07,161.69,160.05,161.68
1400,05/02/84,00:00,161.69,162.11,161.41,161.9
1401,05/03/84,00:00,161.88,161.88,160.95,161.2
1402,05/04/84,00:00,161.2,161.2,158.93,159.11
1403,05/07/84,00:00,159.11,159.48,158.63,159.47
1404,05/08/84,00:00,159.49,160.52,159.14,160.52
1405,05/09/84,00:00,160.53,161.31,159.39,160.11
1406,05/10/84,00:00,160.1,160.45,159.61,160
1407,05/11/84,00:00,160,160,157.42,158.5
1408,05/14/84,00:00,158.45,158.45,157.2,157.5
1409,05/15/84,00:00,157.51,158.27,157.29,158
1410,05/16/84,00:00,158,158.41,157.83,157.99
1411,05/17/84,00:00,157.98,157.99,156.15,156.57
1412,05/18/84,00:00,156.57,156.77,155.24,155.77
1413,05/21/84,00:00,155.8,156.11,154.63,154.73
1414,05/22/84,00:00,154.72,154.72,152.99,153.89
1415,05/23/84,00:00,153.88,154.02,153.1,153.15
1416,05/24/84,00:00,153.15,153.15,150.8,151.23
1417,05/25/84,00:00,151.23,152.02,150.85,151.62
1418,05/28/84,00:00,151.15,153.4,148.9,150.8
1419,05/29/84,00:00,151.63,151.86,149.95,150.29
1420,05/30/84,00:00,150.29,151.43,148.68,150.35
1421,05/31/84,00:00,150.34,150.69,149.76,150.55
1422,06/01/84,00:00,150.55,153.24,150.55,153.24
1423,06/04/84,00:00,153.27,155.1,153.27,154.34
1424,06/05/84,00:00,154.32,154.34,153.28,153.66
1425,06/06/84,00:00,153.67,155.03,153.38,155.01
1426,06/07/84,00:00,155.01,155.11,154.36,154.92
1427,06/08/84,00:00,154.91,155.4,154.57,155.17
1428,06/11/84,00:00,155.17,155.17,153,153.06
1429,06/12/84,00:00,153.07,153.07,151.61,152.19
1430,06/13/84,00:00,152.27,152.85,151.86,152.13
1431,06/14/84,00:00,152.14,152.14,150.31,150.39
1432,06/15/84,00:00,150.39,150.71,149.02,149.03
1433,06/18/84,00:00,149.02,151.92,148.53,151.73
1434,06/19/84,00:00,151.74,153,151.74,152.61
1435,06/20/84,00:00,152.6,154.84,150.96,154.84
1436,06/21/84,00:00,154.84,155.64,154.05,154.51
1437,06/22/84,00:00,154.49,154.92,153.89,154.47
1438,06/25/84,00:00,154.46,154.67,153.86,153.97
1439,06/26/84,00:00,153.96,153.96,152.47,152.71
1440,06/27/84,00:00,152.68,152.88,151.3,151.64
1441,06/28/84,00:00,151.64,153.07,151.62,152.84
1442,06/29/84,00:00,152.84,154.08,152.84,153.18
1443,07/02/84,00:00,153.21,153.22,152.44,153.2
1444,07/03/84,00:00,153.18,153.86,153.1,153.7
1445,07/04/84,00:00,154.7,156.3,152.25,152.25
